mssg_size, time, time_rle,time_rot13,time_rle2,
587, 0.034, 0.099,0,0.001,
588, 0.042, 0.099,0.001,0,
589, 0.037, 0.109,0.001,0.001,
590, 0.033, 0.105,0,0.001,
591, 0.036, 0.108,0.001,0.001,
592, 0.036, 0.102,0.001,0.001,
593, 0.045, 0.118,0.001,0,
594, 0.034, 0.11,0.001,0,
595, 0.052, 0.103,0,0.002,
596, 0.056, 0.103,0.002,0.001,
597, 0.05, 0.115,0.001,0,
598, 0.048, 0.144,0.001,0,
599, 0.037, 0.133,0.001,0,
600, 0.053, 0.116,0,0.001,
601, 0.05, 0.116,0.001,0,
602, 0.042, 0.101,0.001,0,
603, 0.034, 0.108,0,0.001,
604, 0.055, 0.101,0.001,0.001,
605, 0.05, 0.106,0.002,0.001,
606, 0.046, 0.121,0.001,0,
607, 0.048, 0.122,0,0.001,
608, 0.044, 0.102,0.001,0,
609, 0.041, 0.112,0.001,0,
610, 0.054, 0.105,0.001,0.001,
611, 0.048, 0.112,0.001,0.001,
612, 0.047, 0.133,0.001,0,
613, 0.036, 0.105,0.001,0.003,
614, 0.037, 0.107,0,0.001,
615, 0.033, 0.106,0,0.001,
616, 0.035, 0.105,0.001,0,
617, 0.035, 0.105,0,0.001,
618, 0.036, 0.106,0.001,0,
619, 0.034, 0.135,0.003,0.001,
620, 0.049, 0.105,0.001,0,
621, 0.05, 0.106,0.001,0,
622, 0.048, 0.105,0.001,0.001,
623, 0.056, 0.11,0.001,0,
624, 0.057, 0.109,0.002,0.001,
625, 0.049, 0.12,0.001,0.002,
626, 0.052, 0.112,0.001,0.001,
627, 0.064, 0.107,0.001,0,
628, 0.048, 0.109,0.001,0,
629, 0.049, 0.112,0,0.001,
630, 0.06, 0.11,0.001,0.001,
631, 0.046, 0.12,0.001,0,
632, 0.05, 0.13,0,0.001,
633, 0.039, 0.105,0.001,0,
634, 0.032, 0.112,0,0.001,
635, 0.039, 0.106,0.006,0.001,
636, 0.035, 0.116,0.001,0,
637, 0.039, 0.123,0.001,0,
638, 0.044, 0.115,0.002,0.001,
639, 0.051, 0.118,0.003,0,
640, 0.047, 0.11,0.001,0.001,
641, 0.057, 0.113,0.001,0,
642, 0.051, 0.112,0.001,0,
